% Parsed stats from NBA -- not for redistribution
% Author: Jonathan Hudgins
% Draft data retrieved Jan 24, 2014 from
%   http://www.nba.com/draft$i/profiles/byName.html
%   http://www.nba.com/draft$i/profiles/$j
% where $i is year (ex: 2005); $j is player (from byName.html)
%
% Active player data retrieved Jan 24, 2014 from
%   http://stats.nba.com/leaguePlayerGeneral.html?ls=iref%3Anba%3Agnav\&pageNo=$i\&rowsPerPage=100\&Season=20$j
% where $i is 1, 2, 3, 4, 5; $j is 12-13 11-12 10-11 09-10 08-09
%
% Data scrubbed by draftScrub.py and scrubAllDraft.py and some by regex in vim.
% 
% Attributes normalized to range of [-1, 1]:
%
%     points-per-game original range [1.61111111111, 34.92]
%     rebounds-per-game original range [0.268292682927, 13.2727272727]
%     assists-per-game original range [0.0, 10.5]
%     blocks-per-game original range [0.0, 5.5]
%     steals-per-game original range [0.0, 3.91304347826]
%     field-goals-pct original range [0.0, 0.705882352941]
%     3ptrs-pct original range [0.0, 1.0]
%     free-throws-attempted-per-game original range [0.0, 10.0]
%     free-throws-pct original range [0.0, 0.973684210526]
%     games-started-per-game original range [0.0, 1.0]
%
% 3 categories: frequent (played in more than 60 games), infrequent (60 games or less), inactive (not on roster)
% features -- all

@relation nba_draft_success

@attribute points-per-game numeric
@attribute rebounds-per-game numeric
@attribute assists-per-game numeric
@attribute blocks-per-game numeric
@attribute steals-per-game numeric
@attribute field-goals-pct numeric
@attribute 3ptrs-pct numeric
@attribute free-throws-attempted-per-game numeric
@attribute free-throws-pct numeric
@attribute league { international, highschool, college,  }
@attribute games-started-per-game numeric
@attribute classification { frequent, infrequent, inactive,  }

@data
'-0.281300910991','0.298231719055','-0.797235023041','-0.24926686217','-0.571326164875','0.217567567568','-0.8','-0.058064516129','0.435024065161','college','1.0',inactive
'-0.136033090933','-0.579880647911','-0.492063492063','-0.757575757576','-0.334006734007','0.386363636364','-0.154761904762','-0.236363636364','0.483483483483','college','0.757575757576',inactive
'-0.699924872443','-0.315756699655','-0.896480331263','-0.810276679842','-0.522222222222','0.215924426451','-0.411764705882','-0.526086956522','0.262583684602','international','-1.0',inactive
'-0.749816532124','-0.520071990149','-0.920634920635','-0.747474747475','-0.744444444444','0.715419501134','-1.0','-0.638888888889','-0.0519750519751','international','-1.0',inactive
'-0.322836746948','-0.379094439708','0.31746031746','-0.888888888889','0.0222222222222','0.287878787879','-0.119496855346','-0.255555555556','0.440903590157','college','0.888888888889',frequent
'-0.0467784483396','0.608903020668','-0.680823680824','-0.626535626536','-0.406006006006','0.606965174129','-1.0','0.362162162162','0.556842556843','college','0.891891891892',infrequent
'-0.134213574803','-0.295595339585','-0.699855699856','-0.944903581267','-0.318518518519','0.281581092095','-0.166666666667','-0.448484848485','0.78318978319','college','0.939393939394',inactive
'-0.37406479037','0.287955182073','-0.863945578231','-0.0909090909091','-0.543650793651','0.147455867082','-1.0','0.114285714286','0.01386001386','college','0.928571428571',inactive
'-0.347222445886','-0.654125878237','-0.684729064039','-0.899686520376','-0.471264367816','0.237089201878','-0.207317073171','-0.531034482759','0.48012718601','college','0.51724137931',inactive
'-0.201706251251','0.213118073316','-0.785714285714','-0.227272727273','-0.584722222222','0.451985226223','-1.0','0.14375','0.201004282971','college','1.0',inactive
'-0.665833375848','-0.465289270013','-0.708683473389','-0.843137254902','-0.348583877996','0.567852437418','-0.222222222222','-0.647058823529','0.323723723724','international','-1.0',inactive
'-0.297530832956','0.114842578711','-0.84236453202','-0.373040752351','-0.806130268199','0.644160583942','-1.0','-0.2','0.204100652377','college','1.0',inactive
'-0.181583736119','0.258029808625','-0.290640394089','-0.949843260188','0.63908045977','0.381027253669','-0.228070175439','0.048275862069','0.486486486486','college','0.931034482759',inactive
'-0.441551255234','0.148377714257','-0.56862745098','-0.625668449198','-0.0679738562092','0.441696113074','-0.636363636364','-0.347058823529','0.498904309715','college','1.0',inactive
